LocalID,Report Date,Year of Death,First Sample Year,Species,Location,Latitude,Longitude,Sex,Age,Sampled,Definitive Case,Presumptive Case,Case,AnyTissueCulture,ACTissueCulture,AnyTissueCultureOrPCR,ACTissueCultureOrPCR,AnySoilCulture,ACSoilCulture,AnySoilCultureOrPCR,ACSoilCultureOrPCR,AnyTissueSoilCulture,ACTissueSoilCulture,AnyTissueSoilCultureOrPCR,ACTissueSoilCultureOrPCR
MX-21-01,18-Aug-21,2021,2021,Muskox,Ellesmere,80.14922,-85.45555,F,3,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-21-02,09-Aug-21,2021,2021,Muskox,Ellesmere,80.1517,-85.35086,F,5,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y
MX-21-03,09-Aug-21,2021,2021,Muskox,Ellesmere,80.15488,-85.35162,F,5,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-21-04,18-Aug-21,2021,2021,Muskox,Ellesmere,80.08343,-85.73356,M,5,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-21-05,11-Aug-21,2021,2021,Muskox,Ellesmere,80.0774,-85.71463,F,5,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y
MX-21-06,09-Aug-21,2021,2021,Muskox,Ellesmere,80.14119,-85.38404,M,5,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y
MX-21-07,09-Aug-21,2021,2021,Muskox,Ellesmere,80.15334,-85.32904,M,5,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-21-08,13-Aug-21,2021,2021,Muskox,Ellesmere,80.19955,-85.34824,M,4,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-21-09,01-Aug-21,2021,2021,Muskox,Ellesmere,80.21842,-85.31908,M,3,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-21-10,09-Aug-21,2021,2021,Muskox,Ellesmere,80.21698,-85.27782,F,5,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-21-11,03-Aug-21,2021,NA,Muskox,Ellesmere,79.75205,-84.74371,U,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-21-12,06-Aug-21,2021,NA,Muskox,Ellesmere,80.17456,-85.57479,U,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-21-13,09-Aug-21,2021,2022,Muskox,Ellesmere,80.14538,-85.70139,M,4,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-21-14,09-Aug-21,2021,2022,Muskox,Ellesmere,80.24134,-85.44304,M,3,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y
MX-21-15,09-Aug-21,2021,2023,Muskox,Ellesmere,80.188412,-85.333674,M,4,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-21-16,23-Aug-21,2021,2022,Muskox,Ellesmere,80.16879,-85.28514,M,5,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-21-17,23-Aug-21,2021,NA,Muskox,Ellesmere,80.09019,-84.91102,U,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
