HerdID,Date,Year,Latitude,Longitude,Group Size
MXHERD-22-01,26-Jul-22,2022,80.13993,-84.854005,18
MXHERD-22-02,26-Jul-22,2022,80.11181,-84.918287,5
MXHERD-22-03,26-Jul-22,2022,80.101918,-84.960621,19
MXHERD-22-04,27-Jul-22,2022,80.071569,-84.956306,2
MXHERD-22-05,27-Jul-22,2022,80.066592,-84.926933,12
MXHERD-22-06,27-Jul-22,2022,79.987725,-85.458562,19
MXHERD-22-07,27-Jul-22,2022,79.969889,-84.304717,6
MXHERD-22-08,28-Jul-22,2022,79.705275,-83.944749,9
MXHERD-22-09,28-Jul-22,2022,79.611962,-82.914486,9
MXHERD-22-10,28-Jul-22,2022,79.479194,-81.36777,6
MXHERD-22-100,29-Jul-22,2022,80.259759,-85.069683,3
MXHERD-22-101,29-Jul-22,2022,80.249953,-84.984712,1
MXHERD-22-102,29-Jul-22,2022,80.260767,-84.038713,5
MXHERD-22-103,29-Jul-22,2022,80.19234,-84.001215,7
MXHERD-22-104,29-Jul-22,2022,80.196592,-84.22004,1
MXHERD-22-105,29-Jul-22,2022,80.157951,-84.28727,5
MXHERD-22-106,29-Jul-22,2022,80.135755,-84.234725,2
MXHERD-22-107,30-Jul-22,2022,80.121365,-83.734565,14
MXHERD-22-108,30-Jul-22,2022,80.06887,-83.802015,2
MXHERD-22-109,30-Jul-22,2022,80.054379,-83.909247,12
MXHERD-22-11,28-Jul-22,2022,79.298469,-81.289518,1
MXHERD-22-110,30-Jul-22,2022,80.046682,-83.945913,16
MXHERD-22-111,30-Jul-22,2022,80.034427,-84.036031,10
MXHERD-22-112,30-Jul-22,2022,79.992673,-84.653203,16
MXHERD-22-113,30-Jul-22,2022,80.00598,-84.606077,5
MXHERD-22-114,30-Jul-22,2022,80.023899,-84.59176,3
MXHERD-22-115,30-Jul-22,2022,80.039415,-84.521347,4
MXHERD-22-116,28-Jul-22,2022,79.695932,-83.872861,8
MXHERD-22-117,29-Jul-22,2022,80.283077,-88.06845,28
MXHERD-22-118,28-Jul-22,2022,79.277092,-81.43495,1
MXHERD-22-119,28-Jul-22,2022,79.412282,-84.392899,1
MXHERD-22-12,28-Jul-22,2022,79.638427,-85.000592,10
MXHERD-22-120,28-Jul-22,2022,79.162399,83.25116,2
MXHERD-22-121,28-Jul-22,2022,79.705267,-83.92368,2
MXHERD-22-122,24-Jul-22,2022,79.783552,-85.736101,10
MXHERD-22-123,24-Jul-22,2022,79.845938,-85.371847,8
MXHERD-22-124,24-Jul-22,2022,79.84723,-85.407119,12
MXHERD-22-125,30-Jul-22,2022,80.071557,-84.499422,10
MXHERD-22-126,30-Jul-22,2022,80.098066,-84.481854,11
MXHERD-22-127,30-Jul-22,2022,79.945609,-83.816998,1
MXHERD-22-128,30-Jul-22,2022,79.844152,-87.684554,13
MXHERD-22-129,30-Jul-22,2022,79.781893,-87.634488,4
MXHERD-22-13,28-Jul-22,2022,79.182304,-83.8874015,6
MXHERD-22-130,30-Jul-22,2022,79.724974,-87.609212,9
MXHERD-22-131,30-Jul-22,2022,79.723834,-87.590529,1
MXHERD-22-132,30-Jul-22,2022,79.717791,-87.561966,2
MXHERD-22-133,30-Jul-22,2022,79.698667,-87.567052,4
MXHERD-22-134,30-Jul-22,2022,79.633215,-87.634856,3
MXHERD-22-135,30-Jul-22,2022,79.566095,-86.546802,1
MXHERD-22-136,30-Jul-22,2022,79.519665,-86.203345,1
MXHERD-22-137,30-Jul-22,2022,79.415185,-86.348761,1
MXHERD-22-138,30-Jul-22,2022,79.360562,-86.207446,13
MXHERD-22-139,30-Jul-22,2022,79.310997,-86.084569,7
MXHERD-22-14,29-Jul-22,2022,80.055519,-88.226355,15
MXHERD-22-140,30-Jul-22,2022,79.291695,-85.789486,1
MXHERD-22-141,30-Jul-22,2022,79.311701,-85.808875,5
MXHERD-22-142,30-Jul-22,2022,79.252965,-85.719196,1
MXHERD-22-143,30-Jul-22,2022,79.238339,-85.745378,4
MXHERD-22-144,30-Jul-22,2022,79.233416,-85.749029,1
MXHERD-22-145,30-Jul-22,2022,79.225685,-85.91732,1
MXHERD-22-146,30-Jul-22,2022,79.185282,-86.577873,1
MXHERD-22-147,30-Jul-22,2022,79.185429,-86.581389,1
MXHERD-22-148,30-Jul-22,2022,79.179149,-86.594774,9
MXHERD-22-149,30-Jul-22,2022,79.037346,-87.670598,1
MXHERD-22-15,29-Jul-22,2022,80.257095,-87.915675,9
MXHERD-22-150,30-Jul-22,2022,79.315752,-85.719729,2
